"Código","Descripción","UMV","CUMV","UMB","Pvp","Pvp C/I"
"PE811","ANILLA CALAMAR FRIOANTARTIC 6X1","Kgr","1.00","Kgr","2.45","2.70"
"PE794","ANILLA CALAMAR MARFRIO ESPECIAL 6X1","Kgr","1.00","Kgr","2.75","3.03"
"PE423","BACALAO LOMOS 700G/BOLSA  1X9apro","Kgr","1.00","Kgr","4.95","5.45"
"PE792","BACALAO PORCIONES 6X1","Kgr","1.00","Kgr","3.65","4.02"
"PE613","BROTOLA FILETE CYT 7X1","Kgr","1.00","Kgr","7.50","8.25"
"PE616","CAELLA FILETE CYT 7X1","Kgr","1.00","Kgr","2.99","3.29"
"PE740","CALAMAR 15/20 LOLIGO GAHI 10X1","Bolsa","1.00","Kgr","4.30","4.73"
"PE221","CALAMAR LIMPIO 10-20 10X1 IQF","Bolsa","1.00","Kgr","4.65","5.12"
"PE808","CALAMAR PATAGONICO Nº4C 6X1 CYT","Bolsa","1.00","Kgr","3.79","4.17"
"PE582","CHANQUETE 5/7 20X250","Estuche","0.25","Kgr","1.13","1.24"
"PE635","CHOCO TIRAS IQF GEDIS 9X800","Bolsa","1.00","Bolsa","1.85","2.04"
"PE166","DORADA FTE. 200/300 1X5","Kgr","1.00","Kgr","8.90","9.79"
"PE165","LUBINA ABIERTA 200/300 1X5","Kgr","1.00","Kgr","8.90","9.79"
"PE791","MERLUZA CENTROS 120/140 ENV. 4X2","Estuche","2.00","Kgr","13.76","15.14"
"PE618","MERLUZA RODAJAS N. 3 CYT 6X1","Bolsa","1.00","Kgr","3.95","4.35"
"PE785","MERLUZA RODAJAS N.4 GEDIS 9X800","Bolsa","1.00","Bolsa","3.55","3.91"
"PE796","MERLUZA TRONQUITO 4X1","Kgr","1.00","Kgr","2.95","3.25"
"PE625","PANGA FILETE 170/220 PREMIUM 5X1","Kgr","1.00","Kgr","2.92","3.21"
"PE642","PEZ ESPADA FILETE EXTRA BOLSA C/6 S/PESO","Kgr","1.00","Kgr","7.79","8.57"
"PE610","PEZ ESPADA FILETE EXTRA CYT 6X1 aprox","Kgr","1.00","Kgr","7.55","8.31"
"PE812","PEZ ESPADA FTE. ESPECIAL HG. C/6","Kgr","1.00","Kgr","7.56","8.32"
"PE607","POTA TUBO U/5 ELAB. NACIONAL CYT 7X1","Bolsa","1.00","Kgr","4.30","4.73"
"PE578","PULPO PATAS COCIDAS 6X500G aprox.","Kgr","1.00","Kgr","17.85","19.64"
"PE773","PUNTILLA CHINA LIMPIA IQF 6X1","Kgr","1.00","Kgr","3.90","4.29"
"PE583","PUNTILLA INDIA LIMPIA COLOCADA 12X500G 100/UP","Bolsa","0.50","Kgr","1.28","1.40"
"PE570","PUNTILLA JAPONICA BLOQUE 6X1","Placa","1.00","Kgr","3.56","3.92"
"PE608","REJOS DE CALAMAR ILLEX CYT 6X1","Bolsa","1.00","Kgr","4.70","5.17"
"PE083","RODAJAS POTON COCIDO 5X1","Bolsa","1.00","Kgr","4.95","5.45"
"PE137","TILAPIA FILTE 5/7 5X1","Bolsa","1.00","Kgr","4.75","5.23"
"VE027","ALCACHOFAS TROCEADAS 10X1","Bolsa","1.00","Kgr","3.25","3.38"
"VE093","ALUBIA BLANCA 20X500","Bolsa","1.00","Bolsa","0.98","1.01"
"VE099","CEBOLLA TROCEADA 6X1","Kgr","1.00","Kgr","1.55","1.62"
"VE100","ENSALADILLA EXTRA 12X400","Bolsa","1.00","Bolsa","0.46","0.48"
"VE071","ENSALADILLA EXTRA 6X1","Bolsa","1.00","Kgr","1.07","1.11"
"VE107","ESPARRAGO VERDE ENTERO 16/22 10X1","Kgr","1.00","Kgr","6.70","6.97"
"PR042","ESPARRAGO VERDE ENTERO 5X1","Bolsa","1.00","Kgr","6.60","6.86"
"VE077","ESPINACA EXTRA 10X400gr","Bolsa","0.40","Kgr","0.58","0.61"
"VE117","ESPINACAS PORC. 50G 10X1","Kgr","1.00","Kgr","1.45","1.51"
"VE069","ESPINACAS TROZOS 10X1 (2X500g)","Bolsa","1.00","Bolsa","1.34","1.39"
"VE092","GARBANZO 20X500grs","Bolsa","0.50","Kgr","0.99","1.03"
"VE089","GUISANTE EXTRA 12X400gr","Bolsa","0.40","Kgr","1.14","1.19"
"VE067","GUISANTE FINO 6X1","Bolsa","1.00","Bolsa","1.30","1.35"
"VE053","HABA BABY 20X400","Bolsa","0.40","Kgr","1.75","1.82"
"VE083","HABAS FINAS 10bx1","Bolsa","1.00","Kgr","1.98","2.06"
"VE095","JUDIA PERONA TROCEADA (PLANA) 12X400","Bolsa","1.00","Bolsa","0.75","0.83"
"VE114","JUDIA TROCEADA REDONDA 12X400","Bolsa","1.00","Bolsa","0.77","0.80"
"VE090","MENESTRA IMPERIAL 12X400","Bolsa","0.40","Kgr","0.95","0.98"
"VE078","MENESTRA IMPERIAL 6X1","Bolsa","1.00","Kgr","1.69","1.76"
"VE059","MENESTRA SIMPLE 10X1","Bolsa","1.00","Kgr","1.35","1.40"
"VE086","PATATAS ECOFROST 9/9 10X1","Bolsa","1.00","Kgr","1.05","1.09"
"VE048","SALTEADO CAMPESTRE (PRIMAVERA) 10X1","Bolsa","1.00","Kgr","1.99","2.19"
"VE034","SALTEADO TRADICIONAL 10X1","Bolsa","1.00","Kgr","2.19","2.28"
"VE118","VERDURA SOPA 10X1","Kgr","1.00","Kgr","1.19","1.24"
"VE072","ZANAHORIA BABY 6X1","Bolsa","1.00","Bolsa","1.44","1.50"
"CA029","ALAS BARBACOA 4X1","Bolsa","1.00","Kgr","2.98","3.28"
"CA177","ALAS MARINADAS 4X1","Kgr","1.00","Kgr","3.40","3.74"
"CA150","ALAS POLLO PREFRITAS 3X1","Bolsa","1.00","Bolsa","4.92","5.41"
